job_id,num_gpu,submit_time,iterations,model_name,duration,interval
7511,8,0,0,inception3,1441447,571085
7900,5,571085,0,vgg11,59741,21721
7947,1,592806,0,inception3,4140,955
7955,1,594763,0,resnet101,500,1137
7985,1,595900,0,inception4,137703,1403
7989,1,597303,0,vgg19,2,4438
7997,6,601741,0,resnet101,24,43
7998,6,601784,0,alexnet,24,683
8000,6,602467,0,vgg11,77,2761
8007,1,605228,0,vgg11,86,1730
8020,1,606958,0,alexnet,99,539
8026,1,607497,0,resnet101,349,812
8032,1,608309,0,inception3,12,42
8033,1,608351,0,inception3,48,247
8038,1,609059,0,alexnet,83,267
8040,1,609326,0,inception4,122,26
8041,1,609352,0,inception3,42,209
8043,1,609561,0,inception3,20808,29
8044,1,609590,0,vgg19,33333,2876
8112,1,653984,0,resnet152,115,474
8113,1,654458,0,vgg11,24,161
8114,1,654619,0,inception4,82,396
8115,1,655015,0,resnet101,82,3006
8117,5,658021,0,vgg16,11,260
8118,5,658281,0,inception3,33,118
8121,5,658399,0,resnet152,34,684
8124,5,659083,0,resnet50,87,33
8125,5,659116,0,inception4,60,150
8126,5,659266,0,resnet101,11713,56
8128,5,659322,0,vgg16,81393,1806
8138,1,666551,0,vgg11,1,328
8139,1,666879,0,vgg16,43882,583
8141,8,667462,0,alexnet,11,70
8142,8,667532,0,vgg11,82601,56
8143,8,667588,0,vgg11,11884,7109
8174,6,675280,0,inception4,1,1
8177,6,675514,0,vgg19,1,197
8185,8,677936,0,resnet152,216348,1860
8200,4,679796,0,alexnet,3477,109
8201,4,679905,0,vgg11,4344,3376
8237,4,727646,0,vgg16,1,161
8238,4,727807,0,resnet101,1,64
8239,4,727871,0,alexnet,1,59
8240,4,727930,0,vgg19,1,1263
8249,4,729572,0,alexnet,18,57
8250,4,729629,0,resnet152,3549,57
8251,4,729686,0,resnet101,3747,15
8252,4,729701,0,resnet152,2793,5
8253,4,729706,0,vgg11,3683,4
8254,4,729710,0,resnet50,3705,5
8255,4,729715,0,vgg16,3619,3
8256,4,729718,0,inception4,4281,403
8260,1,730121,0,resnet50,122,3745
8276,4,733866,0,alexnet,11,3041
8285,8,736907,0,inception3,37,53
8286,8,736960,0,inception4,34,87
8288,5,737047,0,resnet101,17154,111
8290,8,737158,0,inception3,50,25
8291,5,737183,0,inception3,17780,61
8292,5,737244,0,vgg11,34,55
8293,5,737299,0,inception4,34,220
8294,5,737519,0,alexnet,33,28
8295,5,737547,0,inception3,17623,198
8296,8,737745,0,vgg19,36,40
8297,5,737785,0,resnet152,38,5
8298,8,737790,0,alexnet,4271,23
8300,1,737829,0,resnet101,1000,29
8301,1,737858,0,vgg16,1000,48
8302,1,737906,0,inception4,1000,161
8303,5,738067,0,vgg19,35,162
8307,8,738229,0,resnet101,118,265
8309,3,738494,0,resnet101,17040,443
8310,7,738937,0,resnet152,121,680
8312,4,739617,0,vgg19,3884,13
8313,4,739630,0,resnet101,4068,434
8314,8,740064,0,vgg19,38,484
8315,8,740548,0,inception3,35,154
8316,6,740702,0,inception4,34,4686
8318,8,745388,0,resnet152,11224,859
8321,4,746247,0,vgg16,3716,12
8322,4,746259,0,resnet152,3647,32
8323,4,746291,0,vgg16,3678,11
8324,4,746302,0,inception4,4042,16
8325,4,746318,0,inception4,3905,11
8326,4,746329,0,inception3,3173,74
8327,4,746403,0,inception3,4057,14
8328,4,746417,0,alexnet,3117,17
8329,4,746434,0,resnet50,4319,16
8330,4,746450,0,vgg19,3739,19
8332,4,746487,0,alexnet,3089,1285
8335,5,747772,0,vgg19,27021,644
8339,8,748416,0,resnet101,45,132
8340,8,748548,0,resnet101,34,1648
8346,1,750196,0,alexnet,8,60
8347,1,750256,0,inception3,8,661
8350,1,750917,0,resnet152,48338,459
8351,4,751376,0,inception4,3980,17
8352,4,751393,0,vgg11,2753,30
8353,4,751423,0,vgg11,3192,29
8354,4,751452,0,resnet50,3580,828
8358,4,752546,0,resnet101,1,113
8361,4,752659,0,alexnet,7116,2388
8367,4,755047,0,vgg16,4274,13
8368,4,755060,0,alexnet,3836,15
8369,4,755075,0,vgg19,4347,1013
8373,4,756088,0,alexnet,4629,20
8374,4,756108,0,resnet152,4229,549
8377,8,756657,0,vgg11,47975,47
8378,8,756704,0,resnet101,17937,55
8379,8,756759,0,vgg11,60827,375
8380,1,757134,0,inception3,60485,453
8382,4,757676,0,resnet101,5643,66
8383,4,757742,0,vgg11,5673,10
8384,4,757752,0,vgg19,4058,21
8386,4,757773,0,inception4,3824,21
8387,4,757794,0,inception4,4669,8
8388,4,757802,0,resnet152,4650,745
8400,1,759045,0,vgg16,36,150
8402,5,759198,0,resnet101,21160,178
8404,3,759376,0,inception4,23228,88
8406,4,759464,0,inception4,21979,212
8407,1,759676,0,inception4,917,1244
8410,1,760920,0,alexnet,925,80
8411,8,761000,0,resnet101,27,70
8412,1,761070,0,inception4,10,2211
8416,4,763281,0,resnet152,7529,13
8417,4,763294,0,resnet152,7102,20
8418,4,763314,0,inception4,7311,4323
8436,4,767637,0,resnet101,6339,12
8437,4,767649,0,resnet101,6340,11
8438,4,767660,0,alexnet,6319,11
8439,4,767671,0,resnet152,6305,23
8440,4,767694,0,resnet101,6289,2974
8447,7,770668,0,vgg16,3,836
8450,1,771504,0,alexnet,2,144
8451,1,771648,0,inception3,144301,371
8452,7,772019,0,vgg19,38,1573
8453,4,773592,0,vgg16,4,17
8454,4,773609,0,resnet101,4,1721
8469,8,775330,0,resnet101,7,4031
8478,1,779361,0,resnet101,144566,36062
8490,2,815423,0,resnet101,97768,29
8491,2,815452,0,inception4,90898,13
8492,2,815465,0,resnet101,66250,18
8493,2,815483,0,vgg16,76177,14
8494,2,815497,0,resnet50,75397,7
8495,2,815504,0,vgg19,68106,2942
8500,1,818446,0,vgg16,8675,4179
8516,4,822625,0,inception3,62069,13
8517,4,822638,0,vgg19,64381,11
8518,4,822649,0,resnet101,49767,84
8519,2,822733,0,vgg11,25251,143
8521,1,822876,0,alexnet,18544,106
8522,1,822982,0,resnet152,24130,98
8523,1,823080,0,inception3,44147,3040
8528,1,826120,0,inception3,701,7832
8542,1,833952,0,inception4,1033,743
8543,8,834695,0,resnet152,8,1213
8547,3,835908,0,alexnet,25,172
8548,3,836080,0,vgg11,1679,1193
8553,4,837273,0,inception4,181370,223
8557,2,837496,0,vgg19,13404,468
8558,4,837964,0,resnet152,10,171
8559,2,838135,0,vgg11,677,84
8561,4,838219,0,resnet152,69,60
8562,4,838279,0,inception3,125,205
8564,4,838484,0,vgg11,118,174
8566,4,838658,0,resnet50,123,182
8570,2,839125,0,vgg16,674,35
8573,8,839160,0,inception3,9,77
8575,1,839237,0,inception3,1130,69
8576,4,839306,0,inception4,48232,37
8577,4,839343,0,alexnet,16280,1996
8583,4,842193,0,alexnet,44670,179
8591,4,842965,0,inception3,210553,9
8592,4,842974,0,vgg16,207480,11
8593,4,842985,0,resnet50,180314,47
8595,4,843032,0,vgg19,231331,14
8596,4,843046,0,alexnet,156043,32
8598,4,843078,0,resnet152,178816,225
8603,1,847059,0,vgg16,183998,671
8607,2,847730,0,vgg16,31906,82
8609,1,847812,0,alexnet,11374,65
8610,4,847877,0,vgg16,47777,46
8611,4,847923,0,inception3,45360,27
8612,1,847950,0,vgg19,12684,827
8616,1,848924,0,resnet101,26067,19
8617,1,848943,0,inception3,24598,42
8619,8,848985,0,vgg19,152,1
8620,1,848986,0,resnet152,34243,33
8621,1,849019,0,resnet152,34104,22
8622,1,849041,0,vgg19,47118,22
8623,1,849063,0,vgg19,48070,78
8703,4,1076384,0,resnet101,53805,22
8704,4,1076406,0,vgg19,41854,2014
8710,1,1078420,0,resnet152,33,5274
8715,5,1083694,0,resnet152,12,27
8716,5,1083721,0,alexnet,11,253
8719,5,1083974,0,inception3,24119,1348
8723,5,1085322,0,resnet152,45083,24
8724,5,1085346,0,vgg11,88966,714
8725,8,1086060,0,resnet50,133366,63
8726,8,1086123,0,resnet101,128336,65
8727,8,1086188,0,vgg19,128511,2428
8729,1,1088616,0,vgg19,31,144
8730,5,1088760,0,resnet50,47386,746
8732,4,1089506,0,vgg11,26134,45
8733,4,1089551,0,resnet152,17796,38
8734,1,1089589,0,resnet50,8665,480
8738,8,1090069,0,alexnet,149274,3660
8754,1,1093729,0,resnet101,1000,490
8755,2,1094219,0,vgg16,23611,2671
8756,1,1096890,0,resnet50,3,427
8757,1,1097317,0,vgg19,3,158
8760,2,1097475,0,alexnet,7712,4
8761,2,1097479,0,vgg19,8031,12
8763,2,1097491,0,vgg19,9591,7
8764,2,1097498,0,resnet101,9225,229
8765,1,1097727,0,inception3,2,39
8766,4,1097766,0,vgg16,55405,5
8767,4,1097771,0,resnet152,55378,4
8768,4,1097775,0,vgg16,55778,136
8769,2,1097911,0,vgg16,47080,28
8770,2,1097939,0,resnet101,49860,81
8771,1,1098020,0,vgg19,2,489
8773,1,1098509,0,vgg11,33,983
8774,2,1099492,0,inception4,8430,11
8775,2,1099503,0,resnet101,7998,11
8776,2,1099514,0,vgg11,9252,19
8777,2,1099533,0,inception4,7391,15
8778,2,1099548,0,vgg16,10737,1092
8782,1,1100640,0,resnet50,34,135
8783,1,1100775,0,vgg11,33,150
8784,1,1100925,0,resnet152,389,28
8785,1,1100953,0,resnet101,212,743
8788,1,1102658,0,inception4,107,91
8789,1,1102749,0,resnet50,137920,1190
8791,1,1103939,0,vgg11,269,113
8799,1,1104795,0,resnet152,309,861
